NewYork LosAngeles Chicago Houston Philadelphia Boise Charlotte Omaha Seattle Denver
NewYork Denver
0 2789 789 1627 97 2473 644 1245 2852 1778
2789 0 2016 1548 2709 840 2418 1548 1135 1016
789 2016 0 1083 759 1698 756 471 2064 1004
1627 1548 1083 0 1548 1849 1037 897 2343 1029
97 2709 759 1548 0 2442 545 1215 2821 1729
2473 840 1698 1849 2442 0 2328 1228 504 817
644 2418 756 1037 545 2328 0 1148 2796 1563
1245 1548 471 897 1215 1228 1148 0 1659 537
2852 1135 2064 2343 2821 504 2796 1659 0 1309
1778 1016 1004 1029 1729 817 1563 537 1309 0


 
